RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE
JLS COMERCIO E INSTALACOES ELETRICAS LTDA,10357136000107,"RUA DUITAMA  14 , SAO PAULO",-23.6913862,-46.7434358,SAO PAULO
"EBENEX COMERCIO, IMPORTACAO E EXPORTACAO LTDA",10361880000185,"AVENIDA DOM JOAO VI  559 , DIADEMA",-23.675465,-46.6071139,DIADEMA
ANDY CABOS COMERCIAL LTDA,10363680000161,"RUA SANTA IFIGENIA  210 , SAO PAULO",-23.5398394,-46.638045,SAO PAULO
ANTONIO ARGEMIRO MACHADO ENCARTELADOS,10365808000126,"RUA EPIACABA  520 , SAO PAULO",-23.6345569,-46.5894226,SAO PAULO
CONSTRUEXTRA ADMINISTRACAO E PARTICIPACAO EIRELI,10366213000195,"RUA FERNAO MARQUES  432 , SAO PAULO",-23.5805843,-46.5636702,SAO PAULO
PRODACK COMERCIAL E ARQUITETURA LTDA,10369592000177,"RUA CAPITAO JOAO RAMOS  50 , SAO PAULO",-23.5677584,-46.5212152,SAO PAULO
ROMMI COMERCIAL DE METAIS SANITARIOS LTDA,10370888000108,"RUA PICUI  118 , SAO CAETANO DO SUL",-23.6253604,-46.5606828,SAO CAETANO DO SUL
MADEIREIRA VITORIA OSASCO LTDA,10372531000169,"RUA ARMANDO RECCO  88 , OSASCO",-23.5144198,-46.7580609,OSASCO
ROCHA E TONEZZER COMERCIO E SERVICOS LTDA,10373729000167,"AVENIDA SAO CAMILO  324 , COTIA",-23.5871526,-46.8329559,COTIA
RASQUETEC  RASQUETEAMENTO E MANUTENCAO DE MAQUINAS LTDA,10376452000126,"RUA JUARI  SN , SAO PAULO",-23.6864217,-46.6822806,SAO PAULO
FERNANDES & COELHO COMERCIO DE GESSOS LTDA,10377036000142,"RUA DAS MINAS  98 , SANTO ANDRE",-23.7082092,-46.5151774,SANTO ANDRE
SERVEL COMERCIO INSTALACAO E MANUTENCAO DE EQUIPAMENTOS ELETRICOS E ELETRONICOS LTDA,10377312000172,"AVENIDA PARAISO  715 , SAO CAETANO DO SUL",-23.633007,-46.564119,SAO CAETANO DO SUL
CSE  COMERCIO DE FERRAGENS E FERRAMENTAS LTDA,10379133000174,"RUA ANHANGUERA  756 , SAO PAULO",-23.5209067,-46.6527511,SAO PAULO
EDINALDO MARQUES DOS SANTOS,10380243000156,"AVENIDA DEPUTADO EMILIO CARLOS  1004 , SAO PAULO",-23.4968519,-46.6761819,SAO PAULO
ITACOR COMERCIO DE TINTAS LTDA,10380980000159,"RUA ALVARENGA  1179 , SAO PAULO",-23.571547,-46.7119138,SAO PAULO
ITACOR COMERCIO DE TINTAS LTDA,10380980000230,"ALAMEDA ARAGUAIA  870 , BARUERI",-23.4984451,-46.8530977,BARUERI
ITACOR COMERCIO DE TINTAS LTDA,10380980000310,"AVENIDA INTERLAGOS  6731 , SAO PAULO",-23.7049607,-46.7021324,SAO PAULO
ATUAL MARMORES E GRANITOS LTDA,10382050000134,"ESTRADA ESTADUA BARUERIITAPEVI  6 , JANDIRA",-23.5529124,-46.8929733,JANDIRA
ANA PAULA F DE ALMEIDA COMERCIO DE VIDROS,10383360000173,"RUA BERNARDINO DE SENA  61 , SAO PAULO",-23.5001621,-46.6443387,SAO PAULO
COMERCIO DE MANGUEIRAS RODOLMANG LTDA,10386667000128,"RUA DONA MARIA QUEDAS  134 , SAO PAULO",-23.5139382,-46.5743215,SAO PAULO
ARCONS CONCEITO EM ARQUITETURA EIRELI,10387383000156,"RUA MARINA  497 , SANTO ANDRE",-23.639308,-46.5451801,SANTO ANDRE
STARKCLAMP COMERCIO DE PECAS PARA MAQUINAS LTDA,10387873000152,"RUA CORDOVA  262 , SAO PAULO",-23.576889,-46.5695035,SAO PAULO
VIDROCOLORS REVESTIMENTO E MOSAICO LTDA,10389459000182,"RUA ITAPICURU  751 , SAO PAULO",-23.5337538,-46.6708355,SAO PAULO
EMR MARMORES E GRANITOS EIRELI,10390065000144,"AVENIDA ITABERABA  952 , SAO PAULO",-23.4931478,-46.6964124,SAO PAULO
VHP TECNOLOGIA EM VEDACOES LTDA,10393096000159,"RUA MARANHAO  1064 , SANTANA DE PARNAIBA",-23.4085111,-46.8777599,SANTANA DE PARNAIBA
MP ALUMINIO LTDA,10393535000123,"RUA SAO RAIMUNDO  1085 , SAO PAULO",-23.6107591,-46.5593388,SAO PAULO
KARACASMAD COMERCIO DE MADEIRAS E FERRAGENS LTDA,10396128000170,"AVENIDA RUI BARBOSA  2458 , CARAPICUIBA",-23.5209286,-46.8468755,CARAPICUIBA
VILA DA MADEIRA COMERCIO DE PORTAS E ESQUADRIAS LTDA,10396316000106,"RUA NOSSA SENHORA DAS MERCES  415 , SAO PAULO",-23.6211848,-46.6080247,SAO PAULO
RIO GRANDE COMERCIO DE CALHAS E COIFAS LTDA,10396318000197,"RUA DO LAVAPES  386 , SAO PAULO",-23.5617047,-46.628901,SAO PAULO
OLIVEIRA & JUNIOR COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,10397946000197,"RUA DOUTOR SILVIO DANTE BERTACCHI  264 , SAO PAULO",-23.5959781,-46.7300312,SAO PAULO
A & B MARCENARIA LTDA,10400460000160,"RUA MARIO MONTICO  285 , SAO PAULO",-23.744226,-46.667895,SAO PAULO
EURO COMERCIO DE TINTAS LTDA,10402748000174,"RUA ALFREDO MARCONDES MACHADO  413 , SAO PAULO",-23.4844393,-46.6834725,SAO PAULO
"YELLOW STONE COMERCIAL E DISTRIBUIDORA DE PEDRAS DECORATIVAS, MARMORES E GRANITOS LTDA",10405300000104,"AVENIDA ESCOLA POLITECNICA  4333 , SAO PAULO",-23.5705974,-46.7624624,SAO PAULO
ADILSON COSTA TEIXEIRA AUTO VIDROS E CHAVEIROS,10413943000108,"ESTRADA DOM JOAO NERI  73 , SAO PAULO",-23.5016083,-46.4061532,SAO PAULO
JULIO FERREIRA DE SOUZA ESCADA,10414007000103,"AVENIDA BARAO DE MAUA  2511 , MAUA",-23.665353,-46.4401502,MAUA
D C COMERCIAL IMPORTADORA E EXPORTADORA LTDA,10417408000117,"RUA FELIPE SABBAG  34 , RIBEIRAO PIRES",-23.710677,-46.4131921,RIBEIRAO PIRES
COMERCIAL ELETROMAX COMERCIO DE MATERIAIS ELETRICOS LTDA,10419834000190,"AVENIDA FRANCISCO FERREIRA LOPES  2305 , MOGI DAS CRUZES",-23.5361845,-46.2208708,MOGI DAS CRUZES
MARES AR CONDICIONADO E ELETRICA LTDA,10420617000110,"RUA MONSENHOR EMILIO TEIXEIRA  169 , SAO PAULO",-23.519225,-46.5394395,SAO PAULO
PHD BARRAS DE APOIO  EIRELI EPP,10429095000117,"RUA MAJOR SERTORIO  247B , SAO PAULO",-23.5455196,-46.6464748,SAO PAULO
ALPHA ARTEFATOS DE MADEIRA LTDA,10433487000150,"RUA BEIJA FLOR  849 , COTIA",-23.5994071,-46.9107998,COTIA
"BRUTU'S DECOR COMERCIO , IMPORTACAO , EXPORTACAO E DECORACAO LTDA",10436968000119,"RUA CATEQUESE  1638 , SANTO ANDRE",-23.6598866,-46.5433643,SANTO ANDRE
IMPACTO CRISTAL COMERCIO DE TOLDOS E COBERTURAS LTDA,10439344000155,"RUA TIUBA  194 , SAO PAULO",-23.5422256,-46.5364415,SAO PAULO
HELIO  TUDO PARA REFORMA E CONSTRUCAO LTDA,10440194000108,"RUA GUILHERME BEBIANO MARTINS  336 , SAO PAULO",-23.6264736,-46.6043802,SAO PAULO
GALPAO DAS PEDRAS MARMORES E GRANITOS LTDA,10440856000131,"AVENIDA FUMINOBU SHIMIZU  32 , DIADEMA",-23.6904269,-46.6297205,DIADEMA
GALPAO DAS PEDRAS MARMORES E GRANITOS LTDA,10440856000131,"AVENIDA FUMINOBU SHIMIZU  32 , DIADEMA",-23.6904269,-46.6297205,DIADEMA
RENEI E LENY COMERCIO DE MATERIAL PARA CONSTRUCAO LTDA,10441887000107,"AVENIDA CARLOS DRUMOND DE ANDRADE  209 , OSASCO",-23.5784314,-46.8149402,OSASCO
CASSIANO HOLTZ BARROS PIRES,10445074000195,"ALAMEDA SAO CAETANO  577 , SAO CAETANO DO SUL",-23.6233737,-46.556761,SAO CAETANO DO SUL
TWIST COMERCIO E SERVICOS LTDA,10445446000183,"AVENIDA GAMELEIRA BRANCA  755 , SAO PAULO",-23.5656447,-46.4908189,SAO PAULO
ELO METAIS COMERCIO DE ARMARINHOS EIRELI,10454792000128,"RUA JAIRO GOIS  125 , SAO PAULO",-23.544551,-46.6216176,SAO PAULO
QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO
QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO
QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO
QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO
SILVANA APARECIDA DOS SANTOS SILVA,10458247000100,"AVENIDA PRESIDENTE TANCREDO NEVES  2590 , VARGEM GRANDE PAULISTA",-23.6093616,-47.0087529,VARGEM GRANDE PAULISTA
FORCA MAXIMA MATERIAIS PARA CONSTRUCOES LTDA,10458960000153,"RUA EVERTON RESCA  170 , SAO PAULO",-23.6120786,-46.5025284,SAO PAULO
PP DE SOUZA,10459926000101,"RUA JULIO ANTONIO CONDE  369 , MAUA",-23.643936,-46.4398958,MAUA
NOVA JERB MATERIAIS ELETRICOS EIRELI,10460617000143,"RUA TRIMONTE  69 , SAO PAULO",-23.5765065,-46.5565258,SAO PAULO
POLIECO EQUIPAMENTOS DE PROTECAO E SEGURANCA LTDA,10460804000127,"RUA ANA CLARA  732 , SAO PAULO",-23.6123712,-46.5267603,SAO PAULO
MARCENARIA MOLDURAO COMERCIO DE MADEIRAS EIRELI,10464464000102,"RUA MONSENHOR ANACLETO  118 , SAO PAULO",-23.545507,-46.6233977,SAO PAULO
HADROTEC EQUIPAMENTOS PARA AQUECIMENTO E PRESSURIZACAO LTDA,10466689000106,"ESTRADA FABIO PIRES CINTRA  170 , ITAPECERICA DA SERRA",-23.775931,-46.9238677,ITAPECERICA DA SERRA
ORIGINAL MATERIAIS ELETRICOS E HIDRAULICOS EIRELI,10466892000174,"AVENIDA JAPAO  5525 , MOGI DAS CRUZES",-23.5727444,-46.2169527,MOGI DAS CRUZES
GLOBOEX DISTRIBUICAO LTDA,10468747000122,"RUA ORAGNOF (VL JUPITER)  1042 , SAO BERNARDO DO CAMPO",-23.695531,-46.57148,SAO BERNARDO DO CAMPO
MC BASSAN COMERCIO E SERVICOS EM ACABAMENTO LTDA,10470637000103,"AVENIDA INOCENCIO SERAFICO  4999 , CARAPICUIBA",-23.5619032,-46.8360123,CARAPICUIBA
TEMAC CONSTRUCAO LTDA,10470696000173,"RUA PENSILVANIA  1157 , SAO PAULO",-23.6096365,-46.6894177,SAO PAULO
NEW COLLORS SUZANO TINTAS LTDA,10471596000161,"RUA SETE DE SETEMBRO  977 , SUZANO",-23.5412995,-46.3207426,SUZANO
ITINGUCU COMERCIAL E ELETRICA E HIDRAULICA EIRELI,10471673000183,"RUA ITINGUCU  734 , SAO PAULO",-23.5244534,-46.5077433,SAO PAULO
R & D DECORACOES LTDA,10474165000159,"AVENIDA INAJAR DE SOUZA  1701 , SAO PAULO",-23.4905341,-46.6855157,SAO PAULO
CONVERTEX NEGOCIOS INDUSTRIAIS EIRELI,10476594000165,"AVENIDA EMERICO RICHTER  318 , SAO PAULO",-23.6973326,-46.6722504,SAO PAULO
AMPLO COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,10476655000194,"AVENIDA FRANCISCO FALCONI  1190 , SAO PAULO",-23.5927439,-46.5654992,SAO PAULO
ARTE VIDROS DESIGN LIMITADA,10477337000148,"RUA CATIARA  101 , SAO PAULO",-23.6240862,-46.7584009,SAO PAULO
MARCOS MARQUES DE ANDRADE,10477969000101,"RUA DOUTOR DEODATO WERTHEIMER  2381 , MOGI DAS CRUZES",-23.5320343,-46.19366,MOGI DAS CRUZES
COBREPLAST COMERCIO DE TUBOS E CONEXOES LTDA,10478785000166,"AVENIDA NOVA CANTAREIRA  4796 , SAO PAULO",-23.4587589,-46.6149244,SAO PAULO
M S MARTIN COMERCIAL E SERVICOS,10478830000182,"AVENIDA NOSSA SENHORA DO SABARA  6431 , SAO PAULO",-23.6994446,-46.6720086,SAO PAULO
PADRE PIO MATERIAIS PARA CONSTRUCAO LTDA,10479668000117,"RUA FRANCISCO GOMES DA SILVA PRADO  352 , SAO PAULO",-23.6132754,-46.6214145,SAO PAULO
MEGA SERVICE COMERCIO DE MATERIAIS ELETRICOS EIRELI,10480107000138,"RUA DO IMPERADOR  1920 , SAO PAULO",-23.50906,-46.5937128,SAO PAULO
A C MENDES DA SILVA  MATERIAIS,10480160000139,"AVENIDA PROFESSORA MARTA MARIA BERNARDES  180 , SAO PAULO",-23.7634473,-46.7057981,SAO PAULO
ROGERIO LOPES DE SOUSA ART COLOR,10481534000130,"RUA BARAO CARLOS DE SOUZA ANHUMAS  621 , SAO PAULO",-23.4337207,-46.5802611,SAO PAULO
PONTUAL DISTRIBUIDORA DE VIDROS E ACESSORIOS LTDA,10481624000121,"AVENIDA RALF BOLLI  43 , COTIA",-23.6023431,-46.9349465,COTIA
ALPHARED EQUIPAMENTOS INDUSTRIAIS LTDA,10481645000147,"AVENIDA CABRALIA PAULISTA  53 , SAO PAULO",-23.5316867,-46.503425,SAO PAULO
MARTINS E NASCIMENTO COMERCIO DE MADEIRA E MOVEIS EIRELI,10485666000130,"RUA DOS ENCANADORES  236 , VARGEM GRANDE PAULISTA",-23.617711,-47.0051682,VARGEM GRANDE PAULISTA
ANGELO FRANCISCO DE BRITO,10488063000192,"RUA SANTA LUZIA  3 , SAO PAULO",-23.5545936,-46.6329652,SAO PAULO
ADRIANO DE AC ROCHO,10489939000115,"AVENIDA UBERABA  459 , ITAQUAQUECETUBA",-23.489981,-46.3515385,ITAQUAQUECETUBA
RIO VERDE MADEIRA & CONSTRUCOES EIRELI,10490954000183,"AVENIDA INOCENCIO SERAFICO  5090 , CARAPICUIBA",-23.5625047,-46.8354824,CARAPICUIBA
PROJETEC MATERIAIS ELETRICOS EIRELI,10492913000126,"RUA ZANZIBAR  1154 , SAO PAULO",-23.5128032,-46.6642201,SAO PAULO
CENTER ITAQUA MATERIAL DE CONSTRUCAO LTDA,10493026000172,"ESTRADA DE SAO BENTO  961 , ITAQUAQUECETUBA",-23.463427,-46.3256,ITAQUAQUECETUBA
AERO DINAMICA COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA EIRELI,10494034000133,"RUA PADRE JUSTINO LOMBARDI  100 , SAO PAULO",-23.4990117,-46.7088181,SAO PAULO
PLANETA COMERCIO E SERVICOS DE SOLDAS EIRELI,10494427000147,"RUA NICOLAU COELHO  357 , SANTO ANDRE",-23.7157198,-46.5065048,SANTO ANDRE
ANSINOX TUBOS E CONEXOES LTDA,10494582000163,"RUA ALZIRA MARUYAMA  55 , SAO PAULO",-23.5795882,-46.5062975,SAO PAULO
CENTRAL DE MADEIRAS E FERRAGENS EIRELI,10497120000108,"RUA MONSENHOR ANACLETO  167 , SAO PAULO",-23.5451222,-46.6237847,SAO PAULO
L & A MATERIAIS PARA CONSTRUCAO LTDA,10497256000100,"RUA EMBAIXADOR ALEXANDRE CONTY  37 , SAO PAULO",-23.4094597,-46.7518736,SAO PAULO
TADANO  COMERCIO E MONTAGENS DE ESQUADRIAS DE ALUMINIO LTDA,10500711000189,"RUA CUSTODIO SERRAO  773 , SAO PAULO",-23.512907,-46.748825,SAO PAULO
COMERCIO DE TINTAS M M SOUZA LTDA,10501241000178,"ESTRADA DOS FERNANDES  1179 , SUZANO",-23.5529417,-46.3262935,SUZANO
N&R CONSTRUCOES E RESTAURACAO LTDA,10502509000196,"RUA OVIDIO LOPES  132 , SAO PAULO",-23.4978273,-46.4840383,SAO PAULO
JULIO GONCALVES FILHO,10504480000181,"RUA SALDANHA DA GAMA  87 , SANTO ANDRE",-23.6920208,-46.5291812,SANTO ANDRE
OBRA+ MATERIAIS PARA CONSTRUCAO LTDA,10505560000151,"RUA AUGUSTO CARLOS BAUMAN  916 , SAO PAULO",-23.5317448,-46.4462411,SAO PAULO
FABIANE LETTIERI SALEMA,10506042000152,"RUA FELISBERTO DE CARVALHO  144 , SAO PAULO",-23.5225336,-46.6157722,SAO PAULO
AUTHENTIC PORTAS CORTA FOGO COMERCIO E SERVICOS EIRELI,10507160000185,"RUA JOAQUIM NUNES TEIXEIRA  106 , SAO PAULO",-23.6407172,-46.7397615,SAO PAULO
CS ISHIDA GONCALVES PISCINAS,10507801000100,"AVENIDA PROFESSOR JOSE BARRETO  1281 , COTIA",-23.6027218,-46.9159581,COTIA
ALLIANCE COMERCIO DE VIDROS E ALUMINIO EIRELI,10511751000126,"AVENIDA ATLANTICA  455 , SANTO ANDRE",-23.6666926,-46.5457102,SANTO ANDRE
SETENG  INSTALACOES E COMERCIO DE MATERIAIS ELETRICOS LTDA,10514773000140,"AVENIDA GENERAL PENHA BRASIL  1406 , SAO PAULO",-23.4609425,-46.6709509,SAO PAULO
DRYWALL VITAL  COMERCIO E SERVICOS EM GESSO EIRELI,10515499000123,"ESTRADA ANTIGA DO MAR  477 , SAO PAULO",-23.6697778,-46.6398192,SAO PAULO
IMPACTO COMERCIO DE FERRAGENS MOVEIS E DECORACOES LTDA,10519995000155,"RUA DO GASOMETRO  493 , SAO PAULO",-23.5437987,-46.6215149,SAO PAULO
IMPACTO COMERCIO DE FERRAGENS MOVEIS E DECORACOES LTDA,10519995000155,"RUA DO GASOMETRO  493 , SAO PAULO",-23.5437987,-46.6215149,SAO PAULO
A G DOS SANTOS ESCADAS,10520467000116,"RUA FRANCISCO MARENGO  676 , SUZANO",-23.5131325,-46.2998601,SUZANO
BARRETOS COMERCIO DE MATERIAL PARA CONSTRUCAO LTDA,10520737000199,"RUA CACHOEIRA MORENA  345 , SAO PAULO",-23.5707928,-46.4036949,SAO PAULO
CLAUDIA BARBOSA DE ANDRADE DORIGO,10521175000106,"RUA ESTEVAO FERNANDES  688 , SAO PAULO",-23.6765306,-46.7399912,SAO PAULO
NAKAFERR COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,10524543000161,"RUA CURUPA  429 , SAO PAULO",-23.5589513,-46.5523966,SAO PAULO
TUBOS NOROESTE FERRO E ACO LTDA,10525646000146,"AVENIDA SAPOPEMBA  588 , SANTO ANDRE",-23.6202262,-46.5141587,SANTO ANDRE
JARDEL FERRAZ DA SILVA MATERIAIS PARA CONSTRUCAO,10526772000115,"AVENIDA VICTORIO FORNAZARO  2009 , CARAPICUIBA",-23.5337337,-46.8600508,CARAPICUIBA
ALEXALUM COMERCIO DE ESQUADRIAS DE ALUMINIO LTDA,10528889000138,"RUA OSAKA  1085 , SAO PAULO",-23.504404,-46.5732305,SAO PAULO
MASTER COMP  ELETROELETRONICOS E CONECTORES LTDA,10537956000180,"RUA AURORA  291 , SAO PAULO",-23.5395389,-46.6392719,SAO PAULO
JOSE NETO PEDRAS,10539090000147,"AVENIDA CAPITAO MARIO TOLEDODE CAMARGO  4604 , SANTO ANDRE",-23.6928398,-46.5070376,SANTO ANDRE
CENTRAL MATERIAIS PARA CONSTRUCOES LTDA,10542540000150,"RUA RUI BARBOSA  2135 , CARAPICUIBA",-23.5238923,-46.8458061,CARAPICUIBA
"C R V  COMERCIO DE MAQUINAS, PECAS, ACESSORIOS E USINAGEM LTDA",10548989000126,"RUA LINDOLFO SOARES DE CAMPOS (JD MRO GRANDE)  298 , CAIEIRAS",-23.3815222,-46.7033561,CAIEIRAS
CSC COMERCIO SERVICOS CORDEIRO EIRELI,10554149000176,"ESTRADA DA BIACICA  454 , SAO PAULO",-23.4906414,-46.4064315,SAO PAULO
JUNIA COMERCIO DE MADEIRAS E FERRAGENS EIRELI,10554800000108,"AVENIDA PEREIRA BARRETO  550 , SANTO ANDRE",-23.6717561,-46.5364415,SANTO ANDRE
JUNIA COMERCIO DE MADEIRAS E FERRAGENS EIRELI,10554800000299,"AVENIDA WASHINGTON LUIS  3480 , SAO PAULO",-23.653705,-46.6796087,SAO PAULO
AMANCIO' S MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10555759000194,"RUA GARCIA DE ORTA  272 , SAO PAULO",-23.6854479,-46.790745,SAO PAULO
SAFIRA FERRAGENS E FERRAMENTAS EIRELI,10557503000116,"TRAVESSA ODE MARITIMA  8 , SAO PAULO",-23.4852206,-46.5950323,SAO PAULO
QUALLITY MADEIRAS E FERRAGENS EIRELI,10558879000145,"RUA PRINCESA FRANCISCA CAROLINA  211 , SAO BERNARDO DO CAMPO",-23.7024654,-46.5417464,SAO BERNARDO DO CAMPO
HIDROSYSTEM EQUIPAMENTOS E SERVICOS HIDRAULICOS LTDA,10561646000100,"RUA LAGOA DE PEDRAS  294 , SAO PAULO",-23.5005867,-46.4951927,SAO PAULO
GRISMA COMERCIO E ESTRUTURAS METALICAS LTDA,10566378000100,"RUA FRANCISCO XAVIER DE ABREU  690 , SAO PAULO",-23.6496159,-46.7392867,SAO PAULO
COMERCIO DE ELETRICA AG LESTE ATACADISTA LTDA,10570002000170,"RUA JUIZ DE FORA  167 , SAO PAULO",-23.589451,-46.5329161,SAO PAULO
JOSE ROBERTO BARBOSA DA SILVA,10570381000106,"AVENIDA DOS CAMPANELLAS  273 , SAO PAULO",-23.5365138,-46.4720821,SAO PAULO
COMERCIAL VITAL CASAGRANDE IMPORTACAO E EXPORTACAO DE ALIMENTOS E PRODUTOS DE SAUDE LTDA,10570924000187,"RUA LOEFGREN  1279 , SAO PAULO",-23.5998122,-46.6379321,SAO PAULO
RFN TRANSPORT COMERCIAL EIRELI,10570944000158,"AVENIDA MANUEL PIRES DO PRADO  44 , SAO PAULO",-23.4784872,-46.7471648,SAO PAULO
HBFER ESTRUTURAS METALICAS LTDA,10573206000164,"RUA NICOLAU BATANERO CAMPOS  47 , SAO PAULO",-23.4820589,-46.6830783,SAO PAULO
ROFER TOOLS FERRAMENTAS LTDA,10579612000134,"RUA TEREZINHA  40 , SAO PAULO",-23.5786064,-46.528711,SAO PAULO
"VALVULEX DO BRASIL  COMERCIO DE CONEXOES, VALVULAS E TUBOS INDUSTRIAIS LTDA",10582719000131,"AVENIDA DO ORATORIO  1138 , SAO PAULO",-23.5873606,-46.5567749,SAO PAULO
ACO FORTE COMERCIAL LTDA,10583502000146,"RUA ARISTOTELES COSTA PINTO  823 , SAO PAULO",-23.7348205,-46.6830824,SAO PAULO
ARTISA METAIS EIRELI,10585179000140,"RUA CLEMENTE PEREIRA  503 , SAO PAULO",-23.5978411,-46.6004548,SAO PAULO
FABRICIO XAVIER ALMEIDA SOARES,10587175000109,"ESTRADA MIGUEL DIB JORGE  235 , FERRAZ DE VASCONCELOS",-23.545635,-46.3600412,FERRAZ DE VASCONCELOS
IZABEL CRISTINA TRINDADE DA SILVA,10587805000137,"RUA DIADEMA  139 , JANDIRA",-23.5426724,-46.8975212,JANDIRA
G R DOS SANTOS VIDROS,10588336000170,"RUA SIMAO LOPES  238 , SAO PAULO",-23.6313792,-46.6068144,SAO PAULO
MAGAZINE ARTBOX LEGAL LTDA,10591322000106,"RUA SANTANESIA  599 , SAO PAULO",-23.5748027,-46.7173506,SAO PAULO
SANTA FE COMERCIO DE EQUIPAMENTOS PARA MANUTENCAO INDUSTRIAL LTDA,10593109000133,"AVENIDA DOUTOR ADONIRO LADEIRA  700 , JUNDIAI",-23.218238,-46.8891775,JUNDIAI
BMS COMERCIO E SERVICOS DE USINAGEM LTDA,10600488000141,"RUA REGINA DALBONI  389 , MAUA",-23.6800654,-46.4582704,MAUA
WE COMERCIO E SERVICOS DE MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10604598000181,"RUA AGUANAVAL  202 , SAO PAULO",-23.7337478,-46.7031915,SAO PAULO
MADEIREIRA & MATERIAL DE CONSTRUCAO IRAMAR LTDA,10605832000195,"AVENIDA PROFESSOR JOSE BARRETO  669 , COTIA",-23.6025996,-46.9226805,COTIA
PERSIPISOS  DECORACOES LTDA,10608617000148,"RUA ALMEIDA TORRES,  414 , SAO PAULO",-23.5697088,-46.6263374,SAO PAULO
JMRA PISCINAS LTDA,10611056000136,"RUA GENERAL FRANCISCO GLICERIO  1721 , SUZANO",-23.5492832,-46.3138861,SUZANO
OMA COMERCIO DE STANDS PARA FEIRAS E EVENTOS LTDA,10611774000102,"ESTRADA ABIAS DA SILVA  900 , ITAPECERICA DA SERRA",-23.7425855,-46.8020876,ITAPECERICA DA SERRA
DECORGLASS VIDROS E DECORACAO LTDA,10614888000106,"RUA DO INDUSTRIARIO  387 , EMBU DAS ARTES",-23.6369193,-46.8375696,EMBU DAS ARTES
CAXAMBU MATERIAIS DE CONSTRUCAO LTDA,10619717000170,"RUA JOSE FONTEBASSO  21 , JUNDIAI",-23.1528145,-46.853117,JUNDIAI
JUSSARA GONCALVES DE SANTANA,10622797000112,"ESTRADA DO CAMPO LIMPO  436 , ITAQUAQUECETUBA",-23.4728911,-46.3188605,ITAQUAQUECETUBA
KRUNGER COMERCIO DE MADEIRAS LTDA,10623143000103,"RUA ANTONIO SALIM HISSA FILHO  116 , SAO PAULO",-23.76363,-46.6947252,SAO PAULO
AQUARIUS METAIS COMERCIO DE PRODUTOS SIDERURGICOS LTDA,10623187000133,"AVENIDA OSMUNDO DOS SANTOS PELEGRINI  595 , JUNDIAI",-23.1873232,-46.9127928,JUNDIAI
"CAMORA SERVICE  COMERCIO DE MATERIAIS ELETRICOS, HIDRAULICOS E PRESTACAO DE SERVICOS, EQUIPAMENTOS, PROJETOS DE SISTEMAS LTDA",10623831000173,"RUA CERQUILHO  150 , SANTANA DE PARNAIBA",-23.4061235,-46.8738946,SANTANA DE PARNAIBA
ECCOGLASS ENVIDRACAMENTOS EIRELI,10626421000186,"AVENIDA AUREA  670 , SANTO ANDRE",-23.6895058,-46.5153577,SANTO ANDRE
BAIGAN METAIS SANITARIOS LTDA,10627608000102,"RUA ARMENIA  370 , OSASCO",-23.5260715,-46.7673652,OSASCO
PELLICCI E OLIVEIRA MATERIAIS DE CONSTRUCAO LTDA,10627979000186,"AVENIDA JARDIM JAPAO  1070 , SAO PAULO",-23.4810344,-46.5809483,SAO PAULO
ADILSON VIDROS E DECORACOES LTDA,10632033000108,"RUA MANUEL GALVAO  25 , SAO PAULO",-23.5617581,-46.5756957,SAO PAULO
BALI WELDING  ACESSORIOS PARA SOLDAS ESPECIAIS LTDA,10634023000101,"RUA FRANCISCO BARROSO PEREIRA  371 , SAO PAULO",-23.4888625,-46.4825505,SAO PAULO
CRIL TINTAS E CONSTRUCOES LTDA,10634150000100,"AVENIDA RUI BARBOSA  1208 , CARAPICUIBA",-23.5209129,-46.8415004,CARAPICUIBA
VALERIA SILVA ARRABAL MONTEIRO,10634850000103,"RUA DAS JABUTICABEIRAS  466 , DIADEMA",-23.6690535,-46.6009586,DIADEMA
M R BRASIL COMERCIO DE FERRAGENS EIRELI,10635489000121,"RUA ALVARENGA PEIXOTO  243 , SAO PAULO",-23.5135335,-46.7188054,SAO PAULO
