,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4035,QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO,2
4036,QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO,2
4037,QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO,2
4038,QUALITY COMERCIO DE MATERIAIS ELETRICOS LTDA,10458203000180,"RUA OLAVO EGIDIO DE SOUZA ARANHA  1070 , SAO PAULO",-23.499137,-46.4945721,SAO PAULO,2
4039,SILVANA APARECIDA DOS SANTOS SILVA,10458247000100,"AVENIDA PRESIDENTE TANCREDO NEVES  2590 , VARGEM GRANDE PAULISTA",-23.6093616,-47.0087529,VARGEM GRANDE PAULISTA,4
4040,FORCA MAXIMA MATERIAIS PARA CONSTRUCOES LTDA,10458960000153,"RUA EVERTON RESCA  170 , SAO PAULO",-23.6120786,-46.5025284,SAO PAULO,2
4041,PP DE SOUZA,10459926000101,"RUA JULIO ANTONIO CONDE  369 , MAUA",-23.643936,-46.4398958,MAUA,3
4042,NOVA JERB MATERIAIS ELETRICOS EIRELI,10460617000143,"RUA TRIMONTE  69 , SAO PAULO",-23.5765065,-46.5565258,SAO PAULO,1
4043,POLIECO EQUIPAMENTOS DE PROTECAO E SEGURANCA LTDA,10460804000127,"RUA ANA CLARA  732 , SAO PAULO",-23.6123712,-46.5267603,SAO PAULO,2
4044,MARCENARIA MOLDURAO COMERCIO DE MADEIRAS EIRELI,10464464000102,"RUA MONSENHOR ANACLETO  118 , SAO PAULO",-23.545507,-46.6233977,SAO PAULO,1
4047,GLOBOEX DISTRIBUICAO LTDA,10468747000122,"RUA ORAGNOF (VL JUPITER)  1042 , SAO BERNARDO DO CAMPO",-23.695531,-46.57148,SAO BERNARDO DO CAMPO,3
4048,MC BASSAN COMERCIO E SERVICOS EM ACABAMENTO LTDA,10470637000103,"AVENIDA INOCENCIO SERAFICO  4999 , CARAPICUIBA",-23.5619032,-46.8360123,CARAPICUIBA,4
4049,TEMAC CONSTRUCAO LTDA,10470696000173,"RUA PENSILVANIA  1157 , SAO PAULO",-23.6096365,-46.6894177,SAO PAULO,2
4050,NEW COLLORS SUZANO TINTAS LTDA,10471596000161,"RUA SETE DE SETEMBRO  977 , SUZANO",-23.5412995,-46.3207426,SUZANO,4
4051,ITINGUCU COMERCIAL E ELETRICA E HIDRAULICA EIRELI,10471673000183,"RUA ITINGUCU  734 , SAO PAULO",-23.5244534,-46.5077433,SAO PAULO,2
4052,R & D DECORACOES LTDA,10474165000159,"AVENIDA INAJAR DE SOUZA  1701 , SAO PAULO",-23.4905341,-46.6855157,SAO PAULO,2
4053,CONVERTEX NEGOCIOS INDUSTRIAIS EIRELI,10476594000165,"AVENIDA EMERICO RICHTER  318 , SAO PAULO",-23.6973326,-46.6722504,SAO PAULO,3
4054,AMPLO COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,10476655000194,"AVENIDA FRANCISCO FALCONI  1190 , SAO PAULO",-23.5927439,-46.5654992,SAO PAULO,2
4055,ARTE VIDROS DESIGN LIMITADA,10477337000148,"RUA CATIARA  101 , SAO PAULO",-23.6240862,-46.7584009,SAO PAULO,3
4056,MARCOS MARQUES DE ANDRADE,10477969000101,"RUA DOUTOR DEODATO WERTHEIMER  2381 , MOGI DAS CRUZES",-23.5320343,-46.19366,MOGI DAS CRUZES,4
4057,COBREPLAST COMERCIO DE TUBOS E CONEXOES LTDA,10478785000166,"AVENIDA NOVA CANTAREIRA  4796 , SAO PAULO",-23.4587589,-46.6149244,SAO PAULO,2
4058,M S MARTIN COMERCIAL E SERVICOS,10478830000182,"AVENIDA NOSSA SENHORA DO SABARA  6431 , SAO PAULO",-23.6994446,-46.6720086,SAO PAULO,3
4059,PADRE PIO MATERIAIS PARA CONSTRUCAO LTDA,10479668000117,"RUA FRANCISCO GOMES DA SILVA PRADO  352 , SAO PAULO",-23.6132754,-46.6214145,SAO PAULO,2
4060,MEGA SERVICE COMERCIO DE MATERIAIS ELETRICOS EIRELI,10480107000138,"RUA DO IMPERADOR  1920 , SAO PAULO",-23.50906,-46.5937128,SAO PAULO,1
4061,A C MENDES DA SILVA  MATERIAIS,10480160000139,"AVENIDA PROFESSORA MARTA MARIA BERNARDES  180 , SAO PAULO",-23.7634473,-46.7057981,SAO PAULO,4
4062,ROGERIO LOPES DE SOUSA ART COLOR,10481534000130,"RUA BARAO CARLOS DE SOUZA ANHUMAS  621 , SAO PAULO",-23.4337207,-46.5802611,SAO PAULO,2
4063,PONTUAL DISTRIBUIDORA DE VIDROS E ACESSORIOS LTDA,10481624000121,"AVENIDA RALF BOLLI  43 , COTIA",-23.6023431,-46.9349465,COTIA,4
4064,ALPHARED EQUIPAMENTOS INDUSTRIAIS LTDA,10481645000147,"AVENIDA CABRALIA PAULISTA  53 , SAO PAULO",-23.5316867,-46.503425,SAO PAULO,2
4065,MARTINS E NASCIMENTO COMERCIO DE MADEIRA E MOVEIS EIRELI,10485666000130,"RUA DOS ENCANADORES  236 , VARGEM GRANDE PAULISTA",-23.617711,-47.0051682,VARGEM GRANDE PAULISTA,4
4066,ANGELO FRANCISCO DE BRITO,10488063000192,"RUA SANTA LUZIA  3 , SAO PAULO",-23.5545936,-46.6329652,SAO PAULO,1
4067,ADRIANO DE AC ROCHO,10489939000115,"AVENIDA UBERABA  459 , ITAQUAQUECETUBA",-23.489981,-46.3515385,ITAQUAQUECETUBA,4
4068,RIO VERDE MADEIRA & CONSTRUCOES EIRELI,10490954000183,"AVENIDA INOCENCIO SERAFICO  5090 , CARAPICUIBA",-23.5625047,-46.8354824,CARAPICUIBA,4
4069,PROJETEC MATERIAIS ELETRICOS EIRELI,10492913000126,"RUA ZANZIBAR  1154 , SAO PAULO",-23.5128032,-46.6642201,SAO PAULO,1
4070,CENTER ITAQUA MATERIAL DE CONSTRUCAO LTDA,10493026000172,"ESTRADA DE SAO BENTO  961 , ITAQUAQUECETUBA",-23.463427,-46.3256,ITAQUAQUECETUBA,4
4071,AERO DINAMICA COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA EIRELI,10494034000133,"RUA PADRE JUSTINO LOMBARDI  100 , SAO PAULO",-23.4990117,-46.7088181,SAO PAULO,2
4072,PLANETA COMERCIO E SERVICOS DE SOLDAS EIRELI,10494427000147,"RUA NICOLAU COELHO  357 , SANTO ANDRE",-23.7157198,-46.5065048,SANTO ANDRE,4
4073,ANSINOX TUBOS E CONEXOES LTDA,10494582000163,"RUA ALZIRA MARUYAMA  55 , SAO PAULO",-23.5795882,-46.5062975,SAO PAULO,2
4074,CENTRAL DE MADEIRAS E FERRAGENS EIRELI,10497120000108,"RUA MONSENHOR ANACLETO  167 , SAO PAULO",-23.5451222,-46.6237847,SAO PAULO,1
4075,L & A MATERIAIS PARA CONSTRUCAO LTDA,10497256000100,"RUA EMBAIXADOR ALEXANDRE CONTY  37 , SAO PAULO",-23.4094597,-46.7518736,SAO PAULO,3
4076,TADANO  COMERCIO E MONTAGENS DE ESQUADRIAS DE ALUMINIO LTDA,10500711000189,"RUA CUSTODIO SERRAO  773 , SAO PAULO",-23.512907,-46.748825,SAO PAULO,2
4077,COMERCIO DE TINTAS M M SOUZA LTDA,10501241000178,"ESTRADA DOS FERNANDES  1179 , SUZANO",-23.5529417,-46.3262935,SUZANO,4
4078,N&R CONSTRUCOES E RESTAURACAO LTDA,10502509000196,"RUA OVIDIO LOPES  132 , SAO PAULO",-23.4978273,-46.4840383,SAO PAULO,3
4079,JULIO GONCALVES FILHO,10504480000181,"RUA SALDANHA DA GAMA  87 , SANTO ANDRE",-23.6920208,-46.5291812,SANTO ANDRE,3
4080,OBRA+ MATERIAIS PARA CONSTRUCAO LTDA,10505560000151,"RUA AUGUSTO CARLOS BAUMAN  916 , SAO PAULO",-23.5317448,-46.4462411,SAO PAULO,3
4081,FABIANE LETTIERI SALEMA,10506042000152,"RUA FELISBERTO DE CARVALHO  144 , SAO PAULO",-23.5225336,-46.6157722,SAO PAULO,1
4082,AUTHENTIC PORTAS CORTA FOGO COMERCIO E SERVICOS EIRELI,10507160000185,"RUA JOAQUIM NUNES TEIXEIRA  106 , SAO PAULO",-23.6407172,-46.7397615,SAO PAULO,3
4083,CS ISHIDA GONCALVES PISCINAS,10507801000100,"AVENIDA PROFESSOR JOSE BARRETO  1281 , COTIA",-23.6027218,-46.9159581,COTIA,4
4084,ALLIANCE COMERCIO DE VIDROS E ALUMINIO EIRELI,10511751000126,"AVENIDA ATLANTICA  455 , SANTO ANDRE",-23.6666926,-46.5457102,SANTO ANDRE,3
4085,SETENG  INSTALACOES E COMERCIO DE MATERIAIS ELETRICOS LTDA,10514773000140,"AVENIDA GENERAL PENHA BRASIL  1406 , SAO PAULO",-23.4609425,-46.6709509,SAO PAULO,2
4086,DRYWALL VITAL  COMERCIO E SERVICOS EM GESSO EIRELI,10515499000123,"ESTRADA ANTIGA DO MAR  477 , SAO PAULO",-23.6697778,-46.6398192,SAO PAULO,2
4087,IMPACTO COMERCIO DE FERRAGENS MOVEIS E DECORACOES LTDA,10519995000155,"RUA DO GASOMETRO  493 , SAO PAULO",-23.5437987,-46.6215149,SAO PAULO,1
4088,IMPACTO COMERCIO DE FERRAGENS MOVEIS E DECORACOES LTDA,10519995000155,"RUA DO GASOMETRO  493 , SAO PAULO",-23.5437987,-46.6215149,SAO PAULO,1
4089,A G DOS SANTOS ESCADAS,10520467000116,"RUA FRANCISCO MARENGO  676 , SUZANO",-23.5131325,-46.2998601,SUZANO,4
4090,BARRETOS COMERCIO DE MATERIAL PARA CONSTRUCAO LTDA,10520737000199,"RUA CACHOEIRA MORENA  345 , SAO PAULO",-23.5707928,-46.4036949,SAO PAULO,4
4091,CLAUDIA BARBOSA DE ANDRADE DORIGO,10521175000106,"RUA ESTEVAO FERNANDES  688 , SAO PAULO",-23.6765306,-46.7399912,SAO PAULO,3
4092,NAKAFERR COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,10524543000161,"RUA CURUPA  429 , SAO PAULO",-23.5589513,-46.5523966,SAO PAULO,2
4093,TUBOS NOROESTE FERRO E ACO LTDA,10525646000146,"AVENIDA SAPOPEMBA  588 , SANTO ANDRE",-23.6202262,-46.5141587,SANTO ANDRE,2
4094,JARDEL FERRAZ DA SILVA MATERIAIS PARA CONSTRUCAO,10526772000115,"AVENIDA VICTORIO FORNAZARO  2009 , CARAPICUIBA",-23.5337337,-46.8600508,CARAPICUIBA,4
4095,ALEXALUM COMERCIO DE ESQUADRIAS DE ALUMINIO LTDA,10528889000138,"RUA OSAKA  1085 , SAO PAULO",-23.504404,-46.5732305,SAO PAULO,1
4096,MASTER COMP  ELETROELETRONICOS E CONECTORES LTDA,10537956000180,"RUA AURORA  291 , SAO PAULO",-23.5395389,-46.6392719,SAO PAULO,1
4097,JOSE NETO PEDRAS,10539090000147,"AVENIDA CAPITAO MARIO TOLEDODE CAMARGO  4604 , SANTO ANDRE",-23.6928398,-46.5070376,SANTO ANDRE,4
4098,CENTRAL MATERIAIS PARA CONSTRUCOES LTDA,10542540000150,"RUA RUI BARBOSA  2135 , CARAPICUIBA",-23.5238923,-46.8458061,CARAPICUIBA,4
4099,"C R V  COMERCIO DE MAQUINAS, PECAS, ACESSORIOS E USINAGEM LTDA",10548989000126,"RUA LINDOLFO SOARES DE CAMPOS (JD MRO GRANDE)  298 , CAIEIRAS",-23.3815222,-46.7033561,CAIEIRAS,3
4100,CSC COMERCIO SERVICOS CORDEIRO EIRELI,10554149000176,"ESTRADA DA BIACICA  454 , SAO PAULO",-23.4906414,-46.4064315,SAO PAULO,4
4101,JUNIA COMERCIO DE MADEIRAS E FERRAGENS EIRELI,10554800000108,"AVENIDA PEREIRA BARRETO  550 , SANTO ANDRE",-23.6717561,-46.5364415,SANTO ANDRE,3
4102,JUNIA COMERCIO DE MADEIRAS E FERRAGENS EIRELI,10554800000299,"AVENIDA WASHINGTON LUIS  3480 , SAO PAULO",-23.653705,-46.6796087,SAO PAULO,3
4103,AMANCIO' S MATERIAIS ELETRICOS E HIDRAULICOS LTDA,10555759000194,"RUA GARCIA DE ORTA  272 , SAO PAULO",-23.6854479,-46.790745,SAO PAULO,4
4104,SAFIRA FERRAGENS E FERRAMENTAS EIRELI,10557503000116,"TRAVESSA ODE MARITIMA  8 , SAO PAULO",-23.4852206,-46.5950323,SAO PAULO,1
4105,QUALLITY MADEIRAS E FERRAGENS EIRELI,10558879000145,"RUA PRINCESA FRANCISCA CAROLINA  211 , SAO BERNARDO DO CAMPO",-23.7024654,-46.5417464,SAO BERNARDO DO CAMPO,3
4106,HIDROSYSTEM EQUIPAMENTOS E SERVICOS HIDRAULICOS LTDA,10561646000100,"RUA LAGOA DE PEDRAS  294 , SAO PAULO",-23.5005867,-46.4951927,SAO PAULO,2
4107,GRISMA COMERCIO E ESTRUTURAS METALICAS LTDA,10566378000100,"RUA FRANCISCO XAVIER DE ABREU  690 , SAO PAULO",-23.6496159,-46.7392867,SAO PAULO,3
4108,COMERCIO DE ELETRICA AG LESTE ATACADISTA LTDA,10570002000170,"RUA JUIZ DE FORA  167 , SAO PAULO",-23.589451,-46.5329161,SAO PAULO,2
4109,JOSE ROBERTO BARBOSA DA SILVA,10570381000106,"AVENIDA DOS CAMPANELLAS  273 , SAO PAULO",-23.5365138,-46.4720821,SAO PAULO,3
4110,COMERCIAL VITAL CASAGRANDE IMPORTACAO E EXPORTACAO DE ALIMENTOS E PRODUTOS DE SAUDE LTDA,10570924000187,"RUA LOEFGREN  1279 , SAO PAULO",-23.5998122,-46.6379321,SAO PAULO,1
